n,Average AUC,St_D
2,0.6531580074806886,0.0016649636405988155
3,0.6943530896828413,0.024624959215541975
4,0.7175415476022039,0.0092987914607211
5,0.7424011181960406,0.0017321987811600992
6,0.7415362783823003,0.010902968455303697
7,0.7427545583792812,0.009169667080455912
8,0.745040051117324,2.252307052652558e-05
9,0.7418339463871048,0.006733754673135306
10,0.7387259873625456,0.028991672644726407
