n,Average AUC,St_D
2,0.6918757431629012,0.010621284185493463
3,0.7698145392709108,0.008921245615899631
4,0.8168526815046914,0.0033176260784447686
5,0.8581752960784098,0.015733821922495395
6,0.8953435056676142,0.00025100392508520253
7,0.9260523803320941,0.0022120062464469625
8,0.9444657722688188,0.0009295365180970738
9,0.9497921203656945,0.0026284406605506794
10,0.9597066938119378,0.0019528418161363637
