n,Average AUC,St_D
2,0.6199977706838577,0.0011722844116279774
3,0.7947554679164763,0.003703078560813977
4,0.8449816718564164,0.0024131915530725134
5,0.8653312630652593,0.004244518287091159
6,0.8696341279962487,0.005054168626106359
7,0.8807324236861653,0.0037036062796487745
8,0.8861638665611927,0.008202220794665482
9,0.882602352346056,0.006846222196326135
10,0.885579809802584,0.007467128464767159
