n,Average AUC,St_D
2,0.7055392043705755,0.0023300438596491335
3,0.7182900289807426,0.005769347593812147
4,0.755730382969753,0.0013702194656802225
5,0.7847437673130193,0.0017982456140351322
6,0.8072152823434875,0.0045868945868945965
7,0.8139338639056154,0.002936547513699095
8,0.8162131636132512,0.0008410133960908284
9,0.8167321361765806,0.0036419186250836733
10,0.8102641056422568,0.007973306969846716
