n,Average AUC,St_D
2,0.6520468924809999,0.006158230778133544
3,0.6740794159912262,0.00787479276512415
4,0.7819560683309421,0.007081824289292327
5,0.8296658280587281,0.002785987831891934
6,0.8657153697664745,0.0022350955882830537
7,0.8811485962192006,0.002033597830467637
8,0.8973918623945157,0.0012604462451256682
9,0.9012163206737681,0.00048727828057837375
10,0.9071069687190589,0.005720761314575107
