n,Average AUC,St_D
2,0.5653515284231516,0.01868023286866427
3,0.64930767020971,0.01102556736569954
4,0.7527611672058294,0.004539315317670323
5,0.8705886748679584,0.0004288264620548876
6,0.844581252421815,0.0009144413959731867
7,0.85827925,0.0050537500000000235
8,0.8699047521759073,0.004622913108092597
9,0.8719686808117628,0.00044368523883181465
10,0.8592590798936721,0.007643175318773399
