n,Average AUC,St_D
2,0.5288065843621399,0.007716049382715973
3,0.7027501131733815,0.004017655047532875
4,0.8229211721453287,0.003946799307958493
5,0.9110566771903718,0.0007000442397796514
6,0.9239741780464021,0.0004896132055676183
7,0.9251106167433445,0.002025685612607314
8,0.9361682242990653,0.0021862171368678407
9,0.9262605356680873,0.007397094266145543
10,0.9258094821417064,0.00217738571268683
