n,Average AUC,St_D
2,0.6496626287566066,0.011816866633231782
3,0.6708412689073389,0.0013656784944486855
4,0.7795839379120233,0.003504000579939326
5,0.8331339806997118,0.0021460102347192755
6,0.859502953342513,0.005837071666892513
7,0.881562163782964,0.0038662728796977075
8,0.889996378196173,0.0008655242051198164
9,0.8976364537345557,0.0031690465020183245
10,0.906134479516163,0.0010974963880300836
