n,average_auc
2,0.7553,0.014361754767437005
3,0.7818,0.027478355118165276
4,0.7862,0.01570222914111245
5,0.788,0.011140017953306889
6,0.7878,0.020984756372185977
7,0.7901,0.014305243793798151
8,0.7937,0.015548633380461427
9,0.788,0.015116216457830997
10,0.7916000000000001,0.012905037776000538
