n=2, 2:0.2665, 3:0.2056, 4:0.3932, 5:0.5420, 6:0.3083, 7:0.8123
n=3, 2:0.2420, 3:0.2076, 4:0.3599, 5:0.5649, 6:0.4465, 7:0.7273
n=4, 2:0.2089, 3:0.1730, 4:0.3068, 5:0.4611, 6:0.4465, 7:0.5764
n=5, 2:0.2250, 3:0.2253, 4:0.3101, 5:0.4192, 6:0.4580, 7:0.3560
n=6, 2:0.2126, 3:0.3740, 4:0.4837, 5:0.4948, 6:0.6677, 7:0.2593
n=7, 2:0.7840, 3:0.7878, 4:0.7479, 5:0.6176, 6:0.7641, 7:0.2518
n=8, 2:0.8596, 3:0.8177, 4:0.7713, 5:0.6774, 6:0.7610, 7:0.2789
n=9, 2:0.8630, 3:0.8183, 4:0.7619, 5:0.6898, 6:0.7508, 7:0.2771
n=10, 2:0.8531, 3:0.8064, 4:0.7682, 5:0.6629, 6:0.7611, 7:0.3254
