n=2, 2:0.7784, 3:0.8608, 4:0.8690, 5:0.8157, 6:0.6666, 7:0.5254
n=3, 2:0.7734, 3:0.8743, 4:0.8888, 5:0.8367, 6:0.6819, 7:0.4889
n=4, 2:0.7733, 3:0.8646, 4:0.8881, 5:0.8456, 6:0.6921, 7:0.5196
n=5, 2:0.7736, 3:0.8596, 4:0.8857, 5:0.8516, 6:0.7027, 7:0.5451
n=6, 2:0.7846, 3:0.8689, 4:0.8857, 5:0.8547, 6:0.7383, 7:0.5881
n=7, 2:0.7825, 3:0.8711, 4:0.8915, 5:0.8495, 6:0.7287, 7:0.5938
