n=2, 2:0.4678, 3:0.4327, 4:0.5318, 5:0.5231, 6:0.7220, 7:0.6432
n=3, 2:0.5425, 3:0.4953, 4:0.5633, 5:0.5001, 6:0.6636, 7:0.5761
n=4, 2:0.5584, 3:0.4963, 4:0.5676, 5:0.4730, 6:0.6611, 7:0.5749
n=5, 2:0.5965, 3:0.5042, 4:0.5836, 5:0.5223, 6:0.6425, 7:0.6263
n=6, 2:0.6754, 3:0.6674, 4:0.6368, 5:0.6531, 6:0.7900, 7:0.6663
n=7, 2:0.7946, 3:0.7182, 4:0.7260, 5:0.7086, 6:0.7969, 7:0.7663
