n=2, 2:0.1332, 3:0.2774, 4:0.3932, 5:0.4212, 6:0.1670, 7:0.7405
n=3, 2:0.1526, 3:0.3212, 4:0.3602, 5:0.4981, 6:0.3158, 7:0.7161
n=4, 2:0.3354, 3:0.3508, 4:0.3755, 5:0.5150, 6:0.3385, 7:0.7352
n=5, 2:0.8460, 3:0.6175, 4:0.5453, 5:0.6119, 6:0.4516, 7:0.6710
n=6, 2:0.9454, 3:0.7771, 4:0.6773, 5:0.6989, 6:0.7452, 7:0.3799
n=7, 2:0.9463, 3:0.7811, 4:0.7225, 5:0.7356, 6:0.7923, 7:0.1969
n=8, 2:0.9442, 3:0.7705, 4:0.7109, 5:0.7243, 6:0.8114, 7:0.2238
n=9, 2:0.9435, 3:0.7716, 4:0.7212, 5:0.7277, 6:0.7961, 7:0.2092
n=10, 2:0.9435, 3:0.7716, 4:0.7212, 5:0.7277, 6:0.7961, 7:0.2090
