n=2, 2:0.2085, 3:0.2470, 4:0.3439, 5:0.3930, 6:0.2353, 7:0.7118
n=3, 2:0.1036, 3:0.1975, 4:0.2800, 5:0.4304, 6:0.3266, 7:0.6879
n=4, 2:0.1006, 3:0.1961, 4:0.2661, 5:0.3407, 6:0.3314, 7:0.5483
n=5, 2:0.2643, 3:0.2838, 4:0.3239, 5:0.4180, 6:0.3989, 7:0.3543
n=6, 2:0.9345, 3:0.8116, 4:0.7275, 5:0.7015, 6:0.6639, 7:0.3306
n=7, 2:0.9564, 3:0.8307, 4:0.7594, 5:0.7563, 6:0.7464, 7:0.3333
n=8, 2:0.9386, 3:0.7844, 4:0.7577, 5:0.7622, 6:0.7606, 7:0.3634
n=9, 2:0.9445, 3:0.7794, 4:0.7627, 5:0.7907, 6:0.7678, 7:0.3464
n=10, 2:0.9445, 3:0.7794, 4:0.7628, 5:0.7907, 6:0.7678, 7:0.3464
