n=2, 2:0.6267, 3:0.8462, 4:0.8114, 5:0.8225, 6:0.8802, 7:0.7702
n=3, 2:0.6205, 3:0.8269, 4:0.8411, 5:0.8653, 6:0.8225, 7:0.6865
n=4, 2:0.6247, 3:0.8181, 4:0.7931, 5:0.8464, 6:0.7905, 7:0.7176
n=5, 2:0.6443, 3:0.7886, 4:0.8331, 5:0.8607, 6:0.7553, 7:0.7959
n=6, 2:0.6446, 3:0.7918, 4:0.8277, 5:0.8557, 6:0.8119, 7:0.7800
n=7, 2:0.6479, 3:0.8136, 4:0.8494, 5:0.8728, 6:0.8457, 7:0.6678
