n=2, 2:0.5194, 3:0.4340, 4:0.4148, 5:0.4618, 6:0.3142, 7:0.5000
n=3, 2:0.7371, 3:0.5967, 4:0.5011, 5:0.4638, 6:0.2553, 7:0.5312
n=4, 2:0.7795, 3:0.6946, 4:0.6329, 5:0.5945, 6:0.5811, 7:0.6758
n=5, 2:0.7807, 3:0.7123, 4:0.6986, 5:0.7051, 6:0.7217, 7:0.6484
n=6, 2:0.7766, 3:0.7257, 4:0.6971, 5:0.7513, 6:0.7330, 7:0.5703
n=7, 2:0.7727, 3:0.7304, 4:0.6953, 5:0.7829, 6:0.5926, 7:0.4570
