n=2, 2:0.5444, 3:0.5386, 4:0.5384, 5:0.4863, 6:0.5099, 7:0.5256
n=3, 2:0.5860, 3:0.5328, 4:0.5177, 5:0.4482, 6:0.4569, 7:0.4848
n=4, 2:0.6090, 3:0.5496, 4:0.5214, 5:0.4572, 6:0.4672, 7:0.4968
n=5, 2:0.7123, 3:0.6585, 4:0.6263, 5:0.5817, 6:0.5996, 7:0.6029
n=6, 2:0.8408, 3:0.8357, 4:0.8153, 5:0.8065, 6:0.7717, 7:0.7723
n=7, 2:0.8585, 3:0.8970, 4:0.8830, 5:0.8801, 6:0.8783, 7:0.8722
n=8, 2:0.8637, 3:0.9112, 4:0.9055, 5:0.9109, 6:0.8923, 7:0.9048
n=9, 2:0.8592, 3:0.9115, 4:0.8973, 5:0.8951, 6:0.9010, 7:0.8907
n=10, 2:0.8372, 3:0.9084, 4:0.9082, 5:0.9050, 6:0.8906, 7:0.8847
