Degree,P(k<=K)
0,1.0
1,1.0
2,0.6255424674519529
3,0.4585658193841703
4,0.3529654887373424
5,0.28497623475924777
6,0.2390989873940897
7,0.19942136805125027
8,0.1688365364744782
9,0.14507129572225666
10,0.12626575738789006
11,0.11200661293655714
12,0.1012605910312048
13,0.0929944203347799
14,0.08307501549907005
15,0.0731556106633602
16,0.06530274850175656
17,0.06013639181649101
18,0.055383343666046705
19,0.05042364124819178
20,0.04629055589997933
21,0.04298408762140938
22,0.040504236412481916
23,0.03781773093614383
24,0.03492457119239512
25,0.03244471998346766
26,0.029758214507129573
27,0.02851828890266584
28,0.02645174622855962
29,0.024591857821864023
30,0.022938623682579044
31,0.022112006612936556
32,0.020872081008472824
33,0.019218846869187848
34,0.017152304195081628
35,0.015912378590617896
36,0.01529241578838603
37,0.013845835916511676
38,0.0121926017772267
39,0.011572638974994833
40,0.010952676172762967
41,0.010332713370531101
42,0.009712750568299235
43,0.009299442033477991
44,0.009299442033477991
45,0.008266170696424881
46,0.007646207894193015
47,0.007026245091961149
48,0.006406282289729283
49,0.005786319487497416
50,0.005579665220086794
51,0.0051663566852655505
52,0.0051663566852655505
53,0.0047530481504443065
54,0.0043397396156230625
55,0.0043397396156230625
56,0.0043397396156230625
57,0.0039264310808018186
58,0.0039264310808018186
59,0.0035131225459805746
60,0.0035131225459805746
61,0.0026865054763380862
62,0.0026865054763380862
63,0.0026865054763380862
64,0.0024798512089274642
65,0.0022731969415168423
66,0.0020665426741062203
67,0.0020665426741062203
68,0.001446579871874354
69,0.001446579871874354
70,0.0012399256044637321
71,0.0012399256044637321
72,0.0012399256044637321
73,0.0010332713370531101
74,0.0008266170696424882
75,0.0008266170696424882
76,0.0008266170696424882
77,0.0008266170696424882
78,0.0008266170696424882
79,0.0006199628022318661
80,0.0006199628022318661
81,0.0006199628022318661
82,0.0006199628022318661
83,0.0006199628022318661
84,0.0006199628022318661
85,0.0006199628022318661
86,0.0006199628022318661
87,0.0006199628022318661
88,0.0006199628022318661
89,0.0006199628022318661
90,0.0006199628022318661
91,0.0006199628022318661
92,0.0006199628022318661
93,0.0006199628022318661
94,0.0006199628022318661
95,0.0006199628022318661
96,0.0006199628022318661
97,0.0006199628022318661
98,0.0006199628022318661
99,0.0006199628022318661
100,0.0006199628022318661
101,0.0006199628022318661
102,0.0006199628022318661
103,0.0006199628022318661
104,0.0006199628022318661
105,0.0006199628022318661
106,0.0006199628022318661
107,0.0006199628022318661
108,0.0004133085348212441
109,0.0004133085348212441
110,0.0004133085348212441
111,0.0004133085348212441
112,0.0004133085348212441
113,0.0004133085348212441
114,0.0004133085348212441
115,0.0004133085348212441
116,0.00020665426741062204
117,0.00020665426741062204
118,0.00020665426741062204
119,0.00020665426741062204
120,0.00020665426741062204
121,0.00020665426741062204
122,0.00020665426741062204
123,0.00020665426741062204
124,0.00020665426741062204
125,0.00020665426741062204
126,0.00020665426741062204
127,0.00020665426741062204
128,0.00020665426741062204
129,0.00020665426741062204
130,0.00020665426741062204
131,0.00020665426741062204
132,0.00020665426741062204
133,0.00020665426741062204
134,0.00020665426741062204
135,0.00020665426741062204
136,0.00020665426741062204
137,0.00020665426741062204
138,0.00020665426741062204
139,0.00020665426741062204
140,0.00020665426741062204
141,0.00020665426741062204
142,0.00020665426741062204
143,0.00020665426741062204
144,0.00020665426741062204
145,0.00020665426741062204
146,0.00020665426741062204
147,0.00020665426741062204
148,0.00020665426741062204
149,0.00020665426741062204
150,0.00020665426741062204
151,0.00020665426741062204
152,0.00020665426741062204
153,0.00020665426741062204
154,0.00020665426741062204
155,0.00020665426741062204
156,0.00020665426741062204
157,0.00020665426741062204
158,0.00020665426741062204
159,0.00020665426741062204
160,0.00020665426741062204
161,0.00020665426741062204
162,0.00020665426741062204
163,0.00020665426741062204
164,0.00020665426741062204
165,0.00020665426741062204
166,0.00020665426741062204
167,0.00020665426741062204
168,0.00020665426741062204
169,0.00020665426741062204
170,0.00020665426741062204
171,0.00020665426741062204
172,0.00020665426741062204
173,0.00020665426741062204
174,0.00020665426741062204
175,0.00020665426741062204
176,0.00020665426741062204
177,0.00020665426741062204
178,0.00020665426741062204
179,0.00020665426741062204
180,0.00020665426741062204
181,0.00020665426741062204
182,0.00020665426741062204
183,0.00020665426741062204
184,0.00020665426741062204
185,0.00020665426741062204
186,0.00020665426741062204
187,0.00020665426741062204
188,0.00020665426741062204
189,0.00020665426741062204
190,0.00020665426741062204
