Degree,P(k<=K)
0,1.0
1,1.0
2,0.7641056422569028
3,0.36614645858343337
4,0.2184873949579832
5,0.1482593037214886
6,0.10444177671068428
7,0.07803121248499399
8,0.06602641056422569
9,0.055222088835534214
10,0.05102040816326531
11,0.045018007202881155
12,0.03601440576230492
13,0.03361344537815126
14,0.030012004801920768
15,0.02701080432172869
16,0.0234093637454982
17,0.02040816326530612
18,0.02040816326530612
19,0.019807923169267706
20,0.01920768307322929
21,0.018607442977190875
22,0.016206482593037214
23,0.015606242496998799
24,0.015606242496998799
25,0.015006002400960384
26,0.014405762304921969
27,0.013805522208883553
28,0.013805522208883553
29,0.013805522208883553
30,0.013805522208883553
31,0.013805522208883553
32,0.013205282112845138
33,0.012605042016806723
34,0.012605042016806723
35,0.012004801920768308
36,0.012004801920768308
37,0.012004801920768308
38,0.012004801920768308
39,0.012004801920768308
40,0.012004801920768308
41,0.011404561824729893
42,0.011404561824729893
43,0.011404561824729893
44,0.011404561824729893
45,0.011404561824729893
46,0.011404561824729893
47,0.011404561824729893
48,0.01020408163265306
49,0.01020408163265306
50,0.01020408163265306
51,0.01020408163265306
52,0.009603841536614645
53,0.009603841536614645
54,0.009603841536614645
55,0.009603841536614645
56,0.009603841536614645
57,0.009603841536614645
58,0.009603841536614645
59,0.00900360144057623
60,0.00900360144057623
61,0.00900360144057623
62,0.00900360144057623
63,0.00900360144057623
64,0.00900360144057623
65,0.00900360144057623
66,0.00900360144057623
67,0.00900360144057623
68,0.00900360144057623
69,0.008403361344537815
70,0.008403361344537815
71,0.008403361344537815
72,0.008403361344537815
73,0.008403361344537815
74,0.0078031212484993995
75,0.0078031212484993995
76,0.0078031212484993995
77,0.0078031212484993995
78,0.0078031212484993995
79,0.0078031212484993995
80,0.007202881152460984
81,0.007202881152460984
82,0.006602641056422569
83,0.006602641056422569
84,0.006002400960384154
85,0.006002400960384154
86,0.006002400960384154
87,0.006002400960384154
88,0.006002400960384154
89,0.006002400960384154
90,0.006002400960384154
91,0.006002400960384154
92,0.006002400960384154
93,0.006002400960384154
94,0.006002400960384154
95,0.006002400960384154
96,0.006002400960384154
97,0.006002400960384154
98,0.006002400960384154
99,0.006002400960384154
100,0.006002400960384154
101,0.006002400960384154
102,0.006002400960384154
103,0.006002400960384154
104,0.005402160864345739
105,0.005402160864345739
106,0.005402160864345739
107,0.005402160864345739
108,0.005402160864345739
109,0.005402160864345739
110,0.004801920768307323
111,0.004801920768307323
112,0.004801920768307323
