n,AUC,Standard Deviation
2,0.7393,0.0008
3,0.7634,0.0005
4,0.7680,0.0009
5,0.7552,0.0003
6,0.7536,0.0003
7,0.7615,0.0003
8,0.7421,0.0003
9,0.7598,0.0002
10,0.7667,0.0003
