n,AUC,Standard Deviation
2,0.6507,0.0039
3,0.6719,0.0016
4,0.6988,0.0019
5,0.6913,0.0024
6,0.6906,0.0040
7,0.7196,0.0009
8,0.6995,0.0006
9,0.6912,0.0005
10,0.6805,0.0005
