n,AUC,Standard Deviation
2,0.3878,0.0035
3,0.4618,0.0017
4,0.4840,0.0013
5,0.5424,0.0008
6,0.5046,0.0019
7,0.5729,0.0023
8,0.5711,0.0009
9,0.5921,0.0007
10,0.5642,0.0002
