n,AUC,Standard Deviation
2,0.6319,0.0029
3,0.7858,0.0022
4,0.7427,0.0050
5,0.7401,0.0035
6,0.7099,0.0022
7,0.7878,0.0102
8,0.7929,0.0034
9,0.7711,0.0018
10,0.7789,0.0016
