n,AUC,Standard Deviation
2,0.6619,0.0009
3,0.6840,0.0006
4,0.6572,0.0007
5,0.6909,0.0012
6,0.7018,0.0020
7,0.7006,0.0006
8,0.7150,0.0007
9,0.7136,0.0008
10,0.7143,0.0005
