n,AUC,Standard Deviation
2,0.6329,0.0022
3,0.6376,0.0054
4,0.6449,0.0032
5,0.6756,0.0075
6,0.7235,0.0024
7,0.7589,0.0010
8,0.7526,0.0008
9,0.7395,0.0007
10,0.7412,0.0003
