n,AUC,Standard Deviation
2,0.6153,0.0003
3,0.6956,0.0005
4,0.8386,0.0007
5,0.8440,0.0013
6,0.8692,0.0008
7,0.8736,0.0004
8,0.8679,0.0006
9,0.8656,0.0007
10,0.8494,0.0003
