n,AUC,Standard Deviation
2,0.9022,0.0013
3,0.9245,0.0012
4,0.9391,0.0013
5,0.9452,0.0017
6,0.9458,0.0016
7,0.9482,0.0005
8,0.9541,0.0008
9,0.9512,0.0005
10,0.9520,0.0003
