n,AUC,Standard Deviation
2,0.4138,0.0055
3,0.5092,0.0012
4,0.6887,0.0013
5,0.7846,0.0011
6,0.8222,0.0010
7,0.8150,0.0003
8,0.8172,0.0004
9,0.8208,0.0002
10,0.8261,0.0004
