n,AUC,Standard Deviation
2,0.3598,0.0027
3,0.5466,0.0030
4,0.7548,0.0007
5,0.7882,0.0005
6,0.7687,0.0010
7,0.7781,0.0005
8,0.7923,0.0004
9,0.7750,0.0006
10,0.7807,0.0004
