n,AUC,Standard Deviation
2,0.5959,0.0033
3,0.5940,0.0037
4,0.6688,0.0026
5,0.6721,0.0019
6,0.6698,0.0019
7,0.6791,0.0023
8,0.6702,0.0022
9,0.6659,0.0010
10,0.6722,0.0016
